timestamp,api_type,planning_area,subzone,poi_dimension,place_query_type,query,status,error_message,result_count,place_name
2026-07-16T13:14:45.338481,text_search,Clementi,Pandan,education,kindergarten,"kindergarten in Pandan, Clementi, Singapore",OK,,20,
2026-07-16T13:14:46.122710,text_search,Clementi,Pandan,education,childcare centre,"childcare centre in Pandan, Clementi, Singapore",OK,,20,
2026-07-16T13:14:47.199018,text_search,Clementi,Pandan,education,primary school,"primary school in Pandan, Clementi, Singapore",OK,,15,
2026-07-16T13:14:48.285174,text_search,Clementi,Pandan,education,secondary school,"secondary school in Pandan, Clementi, Singapore",OK,,8,
2026-07-16T13:14:49.091245,text_search,Clementi,Pandan,education,junior college,"junior college in Pandan, Clementi, Singapore",OK,,16,
2026-07-16T13:14:49.964995,text_search,Clementi,Pandan,education,polytechnic,"polytechnic in Pandan, Clementi, Singapore",OK,,20,
2026-07-16T13:14:50.813960,text_search,Clementi,Pandan,education,university,"university in Pandan, Clementi, Singapore",OK,,7,
2026-07-16T13:14:51.432280,text_search,Clementi,Pandan,education,tuition centre,"tuition centre in Pandan, Clementi, Singapore",OK,,20,
2026-07-16T13:14:52.438205,text_search,Clementi,Pandan,education,library,"library in Pandan, Clementi, Singapore",OK,,3,
2026-07-16T13:14:53.433111,text_search,Clementi,Pandan,transport,MRT station,"MRT station in Pandan, Clementi, Singapore",OK,,8,
2026-07-16T13:14:54.378936,text_search,Clementi,Pandan,transport,bus stop,"bus stop in Pandan, Clementi, Singapore",OK,,20,
2026-07-16T13:14:55.348038,text_search,Clementi,Pandan,transport,bus interchange,"bus interchange in Pandan, Clementi, Singapore",OK,,20,
2026-07-16T13:14:56.316761,text_search,Clementi,Pandan,transport,LRT station,"LRT station in Pandan, Clementi, Singapore",OK,,20,
2026-07-16T13:14:57.034200,text_search,Clementi,Pandan,food,hawker centre,"hawker centre in Pandan, Clementi, Singapore",OK,,20,
2026-07-16T13:14:58.119544,text_search,Clementi,Pandan,food,food court,"food court in Pandan, Clementi, Singapore",OK,,18,
